Index,FRB,z,RM,RM error,RM_MW,RM_MW error,RM_EG,RM_EG error
0,20180924B,0.3212,-9.0,2.0,16,5,-25,5
1,20181112A,0.4755,10.5,0.4,16,6,-6,6
2,20190102C,0.2912,112.7,0.4,27,8,86,8
3,20190608B,0.1178,-353.0,1.0,-20,10,-330,10
4,20190611B,0.3778,-17.0,2.0,30,10,-50,10
5,20190711A,0.522,-8.9,0.6,19,6,-28,7
6,20191001A,0.234,-53.8,0.2,23,4,-77,4
7,20191228B,,-13.9,0.8,18,6,-32,6
8,20200430A,0.1608,-195.3,0.7,15,7,-210,7
9,20210117A,0.2145,43.7,0.8,3,9,40,9
10,20210320C,0.2797,-289.3,0.1,-3,6,-287,6
11,20210407E,,10.0,1.0,-60,30,70,30
12,20210912A,,7.1,0.2,8,4,-1,4
13,20210912A,,-9.1,0.8,8,4,-18,4
14,20211212A,0.0707,-30.0,3.0,6,6,-36,6
15,20220501C,0.381,-35.9,0.3,10,5,-46,5
16,20220610A,1.015,-216.0,0.4,12,5,-228,5
17,20220725A,0.1926,25.2,0.6,10,3,15,4
18,20220918A,0.4908,-480.0,10.0,15,9,-500,10
19,20221106A,0.204,-447.0,1.0,40,10,-480,10
20,20230526A,0.157,-613.0,2.0,10,6,-622,6
21,20230708A,0.105,6.6,0.1,40,10,-40,10
22,20230718A,0.0357,-243.1,0.9,190,50,-430,50
